"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数（小便器）","男性トイレ数（和式）","男性トイレ数（洋式）","女性トイレ総数","女性トイレ数（和式）","女性トイレ数（洋式）","男女共用トイレ総数","男女共用トイレ数（和式）","男女共用トイレ数（洋式）","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考"
"131067","131067C00022","台東区","仲見世2号","ナカミセニゴウ","","131067","","東京都台東区浅草1-30-2","東京都","台東区","浅草1丁目","30-2","","","35.711942","139.796252","","","","3","","1","","","","","","","","","","","00:00","00:00","２４時間利用可能","","","男性専用"
"131067","131067C00023","台東区","仲見世3号","ナカミセサンゴウ","","131067","","東京都台東区浅草1-32-6","東京都","台東区","浅草1丁目","32-6","","","35.712102","139.796646","","","","2","","1","","1","1","","","","","","","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00024","台東区","仲見世4号","ナカミセヨンゴウ","","131067","","東京都台東区浅草1-37-2","東京都","台東区","浅草1丁目","37-2","","","35.712558","139.796316","","","","0","","","","","2","","","","","","有","","00:00","00:00","２４時間利用可能","","","女性専用"
"131067","131067C00025","台東区","木馬館前","モクバカンマエ","","131067","","東京都台東区浅草2-3-28","東京都","台東区","浅草2丁目","3-28","","","35.714271","139.795141","","","","6","","2","","","5","","","","1","","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00026","台東区","清川二丁目","キヨカワニチョウメ","","131067","","東京都台東区清川2-13-19","東京都","台東区","清川2丁目","13-19","","","35.727137","139.802743","","","","2","2","","","1","","","","","","","","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00027","台東区","日本堤","ニホンヅツミ","","131067","","東京都台東区東浅草2-27-1","東京都","台東区","東浅草2丁目","27-1","","","35.72406448","139.7983654","","","","2","","1","","","2","","","","1","有","有","有","09:00","16:00","公園の開園時間に準ずる（土日祝・年末年始は08:00～17：00）","","",""
"131067","131067C00028","台東区","柳北","リュウホク","","131067","","東京都台東区浅草橋5-1-35","東京都","台東区","浅草橋5丁目","1-35","","","35.69980114","139.7828744","","","","2","","1","","","","","","","","有","","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00029","台東区","東盛","トウセイ","","131067","","東京都台東区三ノ輪1-23-2","東京都","台東区","三ノ輪1丁目","23-2","","","35.72860233","139.792751","","","","2","","1","","","2","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00030","台東区","千束","センゾク","","131067","","東京都台東区浅草4-24-7","東京都","台東区","浅草橋4丁目","24-7","","","35.71873778","139.7939102","","","","2","","1","","","2","","","","1","有","有","有","00:00","00:00","２４時間利用可能 ただしバリアフリートイレは06:00～19:00が利用可","","",""
"131067","131067C00031","台東区","西町","ニシマチ","","131067","","東京都台東区東上野2-23-3","東京都","台東区","東上野2丁目","23-3","","","35.709219","139.7798683","","","","","","","","","","","1","","","有","","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00032","台東区","石浜","イシハマ","","131067","","東京都台東区清川1-14-21","東京都","台東区","清川1丁目","14-21","","","35.7246832","139.8041612","","","","2","","1","","","1","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00033","台東区","精華","セイカ","","131067","","東京都台東区蔵前4-15-9","東京都","台東区","蔵前4丁目","15-9","","","35.70364592","139.7890573","","","","2","","1","","","2","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00034","台東区","玉姫","タマヒメ","","131067","","東京都台東区清川2-13-18","東京都","台東区","清川2丁目","13-18","","","35.72730905","139.802296","","","","","","","","","","","","3","","","","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00035","台東区","山伏","ヤマブシ","","131067","","東京都台東区北上野2-9-7","東京都","台東区","北上野2丁目","9-7","","","35.71666029","139.783643","","","","","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00036","台東区","松葉","マツバ","","131067","","東京都台東区松が谷1-12-6","東京都","台東区","松が谷1丁目","12-6","","","35.71206394","139.787188","","","","2","","2","","","","","","","","有","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00037","台東区","御徒町","オカチマチ","","131067","","東京都台東区台東4-13-3","東京都","台東区","台東4丁目","13-3","","","35.70624721","139.7778169","","","","2","","1","","","2","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00038","台東区","金杉","カナスギ","","131067","","東京都台東区下谷3-5-12","東京都","台東区","下谷3丁目","5-12","","","35.72402483","139.7859024","","","","2","","1","","","2","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00039","台東区","小島","コジマ","","131067","","東京都台東区小島2-9-4","東京都","台東区","小島2丁目","9-4","","","35.70556114","139.7842243","","","","2","","1","","","","","","","","有","","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00040","台東区","金竜","キンリュウ","","131067","","東京都台東区西浅草3-25-7","東京都","台東区","西浅草3丁目","25-7","","","35.7166877","139.7900739","","","","2","","1","","","2","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
