大分類,小分類,名称,所在地,電話番号,情報,X座標,Y座標
名所・史跡,名所・史跡,初代川柳墓,蔵前4丁目36番7号（竜宝寺内）,,,139.7887445,35.70591527
名所・史跡,名所・史跡,勝川春章墓,蔵前4丁目16番16号（西福寺内）,,,139.7888147,35.70353551
名所・史跡,名所・史跡,寛永寺,上野桜木1丁目14番,,,139.7745046,35.72179353
名所・史跡,名所・史跡,浅草文庫跡碑,蔵前1丁目4番3号（榊神社内）,,,139.789365,35.70008591
名所・史跡,名所・史跡,鷲神社,千束3丁目18番7号,,,139.792013,35.7224137
名所・史跡,名所・史跡,待乳山聖天,浅草7丁目4番1号,,,139.8030326,35.7173148
名所・史跡,名所・史跡,江戸六地蔵,東浅草2丁目12番13号（東禅寺内）,,,139.8002925,35.72407391
名所・史跡,名所・史跡,安藤東野墓,橋場1丁目16番2号（福寿院内）,,,139.806683,35.72406483
名所・史跡,名所・史跡,妙亀塚,橋場1丁目28番12号（妙亀塚公園内）,,,139.8055229,35.72535454
名所・史跡,名所・史跡,橋場のお化け地蔵,橋場2丁目5番3号（松吟寺内）,,,139.805803,35.72632449
名所・史跡,名所・史跡,鳥越神社,鳥越2丁目4番1号,,,139.785695,35.70198564
名所・史跡,名所・史跡,浅間神社,浅草5-3-2,,,139.7983128,35.71919427
名所・史跡,名所・史跡,岡倉天心記念公園,谷中5-7,,,139.766555,35.72637281
名所・史跡,名所・史跡,山岡鉄舟墓,谷中5-4-7（全生庵内）,,,139.766875,35.72413302
名所・史跡,名所・史跡,三遊亭円朝墓,谷中5-4-7（全生庵内）,,,139.766875,35.72413302
名所・史跡,名所・史跡,大久保主水墓,谷中4-2-5（瑞輪寺内）,,,139.767865,35.72314316
名所・史跡,名所・史跡,鈴木春信碑,谷中3-1-2（大円寺内）,,,139.7657051,35.72464291
名所・史跡,名所・史跡,蒲生君平墓,谷中1-4-13（臨江寺内）,,,139.7664151,35.72006336
名所・史跡,名所・史跡,太宰春台墓,谷中1-2-14（天眼寺内）,,,139.7670951,35.71872351
名所・史跡,名所・史跡,子規庵,根岸2-5-11,,,139.7763844,35.72448339
名所・史跡,名所・史跡,葛飾北斎墓,元浅草4-6-9（誓教寺内）,,,139.7855144,35.70972485
名所・史跡,名所・史跡,中村不折旧宅（書道博物館）,根岸2-10-4,,,139.7762944,35.72464337
名所・史跡,名所・史跡,浄名院八万四千体地蔵,上野桜木2-6-4（浄名院内）,,,139.7734047,35.72238346
名所・史跡,名所・史跡,入谷鬼子母神,下谷1-12-16（真源寺内）,,,139.782834,35.71975389
名所・史跡,名所・史跡,小野照崎神社,下谷2-13-14,,,139.7836639,35.72200377
名所・史跡,名所・史跡,飛不動,竜泉3-11-11（正宝院内）,,,139.7919428,35.72423348
名所・史跡,名所・史跡,浅草寺,浅草2-3-1,,,139.7968231,35.71467453
名所・史跡,名所・史跡,浅草神社,浅草2-3-1,,,139.797523,35.71505453
名所・史跡,名所・史跡,伝法院,浅草2-3-1（浅草寺境内）,,,139.7953633,35.71329464
名所・史跡,名所・史跡,玉川兄弟の墓,松が谷2-3-3（聖徳寺内）,,,139.7866941,35.71278457
名所・史跡,名所・史跡,旧寛永寺五重塔,上野公園（動物園内）,,,139.7717649,35.71570398
名所・史跡,名所・史跡,上野東照宮,上野公園,,,139.770695,35.71531397
名所・史跡,名所・史跡,表慶館,上野公園（博物館内）,,,139.7752946,35.7187038
名所・史跡,名所・史跡,清水観音堂,上野公園,,,139.7735549,35.71265429
名所・史跡,名所・史跡,旧東京音楽学校奏楽堂,上野公園,,,139.7732448,35.71796381
名所・史跡,名所・史跡,徳川慶喜墓,谷中7（谷中墓地内）,,,139.7719247,35.72340333
名所・史跡,名所・史跡,西郷隆盛像,上野公園,,,139.7740049,35.71162439
名所・史跡,名所・史跡,谷中天王寺五重塔跡,谷中7（谷中墓地内）,,,139.7708948,35.72519314
名所・史跡,名所・史跡,不忍弁天堂,上野公園,,,139.7712751,35.71207427
名所・史跡,名所・史跡,上野の大仏,上野公園,,,139.7727649,35.71444411
名所・史跡,名所・史跡,北村季吟墓,池之端2-4-22（正慶寺内）,,,139.7660253,35.71413388
名所・史跡,名所・史跡,下谷神社,東上野3-29-8,,,139.7812946,35.71074465
名所・史跡,名所・史跡,雷門,浅草1（浅草寺境内）,,,139.7963834,35.71120485
名所・史跡,名所・史跡,曹源寺(かっぱ寺),松が谷3-7-2,,,139.786504,35.71533434
名所・史跡,名所・史跡,東本願寺,西浅草1-5-5,,,139.7895539,35.7117147
