大分類,小分類,名称,所在地,電話番号,情報,X座標,Y座標
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)7谷中清水町公園,,,,139.7696349,35.7200335
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)16谷中霊園入口,,,,139.7696349,35.72332323
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)19鴎外旧居跡,,,,139.769795,35.71605386
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)9谷中霊園入口,,,,139.7698149,35.72301326
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)8旧吉田屋酒店,,,,139.7706549,35.72107346
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)17旧吉田屋酒店,,,,139.7706949,35.72103347
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)6上野桜木会館,,,,139.7709289,35.71981358
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)4旧東京音楽学校奏楽堂,,,,139.7736267,35.71836179
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)22京成上野駅,,,,139.773975,35.71099445
「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,「東西めぐりん（上野公園経由・三崎坂往復ルート）」停留所,東西(上野公園経由・三崎坂往復ルート)5寛永寺,,,,139.7740136,35.7206786
